temp_mean,temp_std,temp_rate,vibration_rms,vibration_peak,vibration_kurtosis,label
3.78706,0.43899292,0.039200116,0.42433253,0.47800002,4.0773582,0
3.7443066,0.41924766,0.15999994,0.42879772,0.495,3.4496672,0
16.48712,1.9576037,2.4815993,0.40456212,0.4616,3.940111,1
3.8986733,0.47142997,-0.488,0.43166813,0.48160002,4.086234,0
9.53914,1.2199883,2.7164001,1.1338706,1.3062,4.3652062,2
15.632887,1.8622694,2.423201,1.0929762,1.2424,3.6144311,2
18.776033,2.232774,3.0164,1.1261549,1.2446,4.501443,2
9.608133,1.2386191,2.7884,0.44609904,0.495,4.2653804,1
11.088873,1.3679957,3.1368003,1.1196276,1.2746,4.1814694,2
3.9208267,0.46476537,0.33599997,0.42793223,0.48160002,4.1987805,0
12.576513,1.601175,2.7212002,1.0818048,1.2746,4.08727,2
3.74862,0.43927443,0.030000115,0.41946772,0.498,3.6465836,0
18.006401,2.1206617,2.7683997,0.43091467,0.495,3.921994,1
14.115787,1.7486287,2.6495998,0.41067022,0.4646,4.050152,1
3.83482,0.3971253,-0.014799881,0.41021833,0.4668,4.0429087,0
3.8595266,0.43034634,-0.02880001,0.4283252,0.4726,4.383254,0
3.7651534,0.44408914,0.32959986,0.41716844,0.495,4.6469355,0
3.7182868,0.4188464,-0.30199987,0.44269174,0.498,4.368884,0
16.429914,1.9448401,2.9280007,1.1279924,1.2424,4.40496,2
4.948993,0.86693233,2.6744,0.42725757,0.4876,3.4951546,1
13.319973,1.576593,2.7548003,0.41656113,0.4796,4.770232,1
13.279913,1.5562761,2.3388004,1.0624588,1.2158,4.190654,2
8.7899,1.156579,2.4236004,1.1333199,1.2788,3.6527026,2
17.216093,2.0624304,2.9547997,1.1237395,1.249,4.167626,2
3.8784933,0.4879346,0.4948,0.42174524,0.4628,4.158214,0
3.8305533,0.45188937,0.17639999,0.4113829,0.47,4.265467,0
11.089273,1.3944378,2.4276001,0.4525075,0.504,4.285436,1
10.37576,1.3536154,2.5020003,0.45195165,0.504,4.261871,1
3.8802934,0.43411806,0.036799908,0.42338023,0.4694,3.9921792,0
8.878153,1.1676034,2.7224002,0.43970057,0.495,4.173812,1
15.73606,1.8752496,2.5171998,0.41438648,0.4616,3.8521647,1
18.001614,2.130932,2.6739998,1.1257862,1.249,4.298525,2
6.4840465,0.93084615,2.2543998,1.1056023,1.2442,4.218892,2
3.8616,0.42236775,-0.019199753,0.42486942,0.4738,4.3204594,0
14.971213,1.8120251,2.6652005,0.41905266,0.4646,4.3206496,1
14.81986,1.814502,2.8304,1.0564224,1.2424,4.00306,2
5.662433,0.9438042,2.2671998,1.0978432,1.2442,4.534426,2
18.772846,2.19595,2.5259995,0.4411266,0.495,3.7715557,1
12.512273,1.5175059,2.2564003,0.43522346,0.4996,3.7211604,1
8.038393,1.0800478,2.8215997,1.1393616,1.2788,4.339498,2
3.76116,0.44399524,-0.25479993,0.4195649,0.47800002,3.876711,0
6.4680934,0.93935263,2.586,0.42179844,0.4776,3.4702184,1
3.7334266,0.46168965,0.059999846,0.41058302,0.4584,4.518816,0
10.346913,1.3679352,2.7811997,1.1181418,1.3062,3.7121441,2
4.8656,0.8791293,2.5476,1.0934138,1.2274001,3.9493904,2
17.231466,2.0198295,2.6336007,0.410546,0.482,4.1676993,1
8.1002,1.1355455,2.3711998,0.43126002,0.48459998,4.075571,1
11.860753,1.4893602,2.0008,1.123148,1.2746,3.894223,2
3.85248,0.42437902,0.063999936,0.41854218,0.4738,4.017899,0
7.30094,1.0655392,3.0648,0.43139997,0.4776,4.281291,1
3.8568332,0.42806864,0.23519984,0.4366962,0.492,4.5210767,0
19.50896,2.2539427,2.523999,1.1333842,1.2446,3.979176,2
5.72616,0.8976503,2.0792,0.4239369,0.4786,4.081578,1
3.8121333,0.4543499,0.079200074,0.40914574,0.4668,4.2401056,0
7.2535334,1.0025083,2.4936001,1.1268266,1.2406,3.8116865,2
3.8857,0.43317065,-0.39839992,0.42778856,0.48160002,4.395719,0
11.8314,1.4558277,2.1836,0.4515881,0.4996,4.48707,1
14.029807,1.6858649,2.7532,1.0313838,1.2158,3.516533,2
19.497473,2.3252542,2.4448,0.4431239,0.4942,4.734545,1
